format_example

Input directory: /Users/magneto/Desktop/Codex Playground/PeanutButterUltima/input
Archive directory: /Users/magneto/Desktop/Codex Playground/PeanutButterUltima/archive_example
Archive header length: 40
Recovery header length: 16
L1 block length: 40
L1 payload bytes: 24
L3 page length: 160

Bundle log:
  Bundle job starting...
  Found 12 files and 1 empty folders to bundle.
  Bundled archive 1 / 2, 6 files written, 40 B / 86 B.
  Bundled archive 2 / 2, 12 files written, 86 B / 86 B.
  Bundle job complete.

Input files (ordered):
  FILE china.txt (7 bytes)
  FILE distant/jupiter.cpp (9 bytes)
  FILE distant/mars.cpp (7 bytes)
  FILE early/egypt.txt (5 bytes)
  FILE early/greece.txt (6 bytes)
  FILE england.txt (6 bytes)
  FILE japan.txt (5 bytes)
  FILE junk/france.txt (5 bytes)
  FILE junk/germany.txt (6 bytes)
  FILE junk/romania.txt (9 bytes)
  FILE russia.txt (6 bytes)
  FILE usa.txt (15 bytes)
  DIR  empty

================================================================================
ARCHIVE_FILE_BEGIN | archive_input_1.xyz | archive_index=0 | archive_count=2 | payload_length=320 | file_length=360
================================================================================
ZONE       | ARCHIVE_FILE             | OFFSET     | BYTE   | FIELD                                  | VALUE                | NOTE
--------------------------------------------------------------------------------
[AR-HEAD]  | archive_input_1.xyz      | 0x00000000 | 0x1e   | ah_magic_b1of4                         | 0xf01dab1e           | 
[AR-HEAD]  | archive_input_1.xyz      | 0x00000001 | 0xab   | ah_magic_b2of4                         | 0xf01dab1e           | 
[AR-HEAD]  | archive_input_1.xyz      | 0x00000002 | 0x1d   | ah_magic_b3of4                         | 0xf01dab1e           | 
[AR-HEAD]  | archive_input_1.xyz      | 0x00000003 | 0xf0   | ah_magic_b4of4                         | 0xf01dab1e           | 
[AR-HEAD]  | archive_input_1.xyz      | 0x00000004 | 0x01   | ah_ver_major_b1of2                     | 1                    | 
[AR-HEAD]  | archive_input_1.xyz      | 0x00000005 | 0x00   | ah_ver_major_b2of2                     | 1                    | 
[AR-HEAD]  | archive_input_1.xyz      | 0x00000006 | 0x00   | ah_ver_minor_b1of2                     | 0                    | 
[AR-HEAD]  | archive_input_1.xyz      | 0x00000007 | 0x00   | ah_ver_minor_b2of2                     | 0                    | 
[AR-HEAD]  | archive_input_1.xyz      | 0x00000008 | 0xd0   | ah_id_b1of8                            | 0x5381b855863b5fd0   | 
[AR-HEAD]  | archive_input_1.xyz      | 0x00000009 | 0x5f   | ah_id_b2of8                            | 0x5381b855863b5fd0   | 
[AR-HEAD]  | archive_input_1.xyz      | 0x0000000a | 0x3b   | ah_id_b3of8                            | 0x5381b855863b5fd0   | 
[AR-HEAD]  | archive_input_1.xyz      | 0x0000000b | 0x86   | ah_id_b4of8                            | 0x5381b855863b5fd0   | 
[AR-HEAD]  | archive_input_1.xyz      | 0x0000000c | 0x55   | ah_id_b5of8                            | 0x5381b855863b5fd0   | 
[AR-HEAD]  | archive_input_1.xyz      | 0x0000000d | 0xb8   | ah_id_b6of8                            | 0x5381b855863b5fd0   | 
[AR-HEAD]  | archive_input_1.xyz      | 0x0000000e | 0x81   | ah_id_b7of8                            | 0x5381b855863b5fd0   | 
[AR-HEAD]  | archive_input_1.xyz      | 0x0000000f | 0x53   | ah_id_b8of8                            | 0x5381b855863b5fd0   | 
[AR-HEAD]  | archive_input_1.xyz      | 0x00000010 | 0x00   | ah_index_b1of4                         | 0                    | 
[AR-HEAD]  | archive_input_1.xyz      | 0x00000011 | 0x00   | ah_index_b2of4                         | 0                    | 
[AR-HEAD]  | archive_input_1.xyz      | 0x00000012 | 0x00   | ah_index_b3of4                         | 0                    | 
[AR-HEAD]  | archive_input_1.xyz      | 0x00000013 | 0x00   | ah_index_b4of4                         | 0                    | 
[AR-HEAD]  | archive_input_1.xyz      | 0x00000014 | 0x02   | ah_count_b1of4                         | 2                    | 
[AR-HEAD]  | archive_input_1.xyz      | 0x00000015 | 0x00   | ah_count_b2of4                         | 2                    | 
[AR-HEAD]  | archive_input_1.xyz      | 0x00000016 | 0x00   | ah_count_b3of4                         | 2                    | 
[AR-HEAD]  | archive_input_1.xyz      | 0x00000017 | 0x00   | ah_count_b4of4                         | 2                    | 
[AR-HEAD]  | archive_input_1.xyz      | 0x00000018 | 0x40   | ah_payload_len_b1of4                   | 320                  | 
[AR-HEAD]  | archive_input_1.xyz      | 0x00000019 | 0x01   | ah_payload_len_b2of4                   | 320                  | 
[AR-HEAD]  | archive_input_1.xyz      | 0x0000001a | 0x00   | ah_payload_len_b3of4                   | 320                  | 
[AR-HEAD]  | archive_input_1.xyz      | 0x0000001b | 0x00   | ah_payload_len_b4of4                   | 320                  | 
[AR-HEAD]  | archive_input_1.xyz      | 0x0000001c | 0x0c   | ah_file_count_mod256                   | 12                   | 
[AR-HEAD]  | archive_input_1.xyz      | 0x0000001d | 0x01   | ah_dir_count_mod256                    | 1                    | 
[AR-HEAD]  | archive_input_1.xyz      | 0x0000001e | 0x00   | ah_pad_b1of2                           | -                    | 
[AR-HEAD]  | archive_input_1.xyz      | 0x0000001f | 0x00   | ah_pad_b2of2                           | -                    | 
[AR-HEAD]  | archive_input_1.xyz      | 0x00000020 | 0x00   | ah_reserved_b1of8                      | 0                    | 
[AR-HEAD]  | archive_input_1.xyz      | 0x00000021 | 0x00   | ah_reserved_b2of8                      | 0                    | 
[AR-HEAD]  | archive_input_1.xyz      | 0x00000022 | 0x00   | ah_reserved_b3of8                      | 0                    | 
[AR-HEAD]  | archive_input_1.xyz      | 0x00000023 | 0x00   | ah_reserved_b4of8                      | 0                    | 
[AR-HEAD]  | archive_input_1.xyz      | 0x00000024 | 0x00   | ah_reserved_b5of8                      | 0                    | 
[AR-HEAD]  | archive_input_1.xyz      | 0x00000025 | 0x00   | ah_reserved_b6of8                      | 0                    | 
[AR-HEAD]  | archive_input_1.xyz      | 0x00000026 | 0x00   | ah_reserved_b7of8                      | 0                    | 
[AR-HEAD]  | archive_input_1.xyz      | 0x00000027 | 0x00   | ah_reserved_b8of8                      | 0                    | 

[RC-HEAD]  | archive_input_1.xyz      | 0x00000028 | 0x33   | rh_checksum_b1of8                      | -                    | recovery_header
[RC-HEAD]  | archive_input_1.xyz      | 0x00000029 | 0x27   | rh_checksum_b2of8                      | -                    | recovery_header
[RC-HEAD]  | archive_input_1.xyz      | 0x0000002a | 0xe3   | rh_checksum_b3of8                      | -                    | recovery_header
[RC-HEAD]  | archive_input_1.xyz      | 0x0000002b | 0xfb   | rh_checksum_b4of8                      | -                    | recovery_header
[RC-HEAD]  | archive_input_1.xyz      | 0x0000002c | 0x64   | rh_checksum_b5of8                      | -                    | recovery_header
[RC-HEAD]  | archive_input_1.xyz      | 0x0000002d | 0xa3   | rh_checksum_b6of8                      | -                    | recovery_header
[RC-HEAD]  | archive_input_1.xyz      | 0x0000002e | 0x12   | rh_checksum_b7of8                      | -                    | recovery_header
[RC-HEAD]  | archive_input_1.xyz      | 0x0000002f | 0xb1   | rh_checksum_b8of8                      | -                    | recovery_header
[RC-HEAD]  | archive_input_1.xyz      | 0x00000030 | 0x00   | rh_distance_b1of8                      | 0                    | distance_to_next_record
